yolo11n 83.5 1.4
yolo11s 85.1 2.1
yolo11m 85.1 3.9
yolo11l 85.3 4.6
yolo8l 85.2 5.8
yolo8M 86.3 3.9
yolo8s 86.0 2.0
yolo8n 82.5 1.3
rt-detr 85.2 6.8

